record_type,venture,github_repo,t7_repository_reference,owned,starred,capabilities,criticality,action,mapping_status,sector,source
venture,BW-036-Bridal-Makeup-Service,bw-036-bridal-makeup-service,https://github.com/Worldwidebro/bw-036-bridal-makeup-service,✅,—,unclassified,,UNASSESSED,matched,beauty-wellness,t7_registry
venture,BW-037-Mobile-Makeup-Artist,bw-037-mobile-makeup-artist,https://github.com/Worldwidebro/bw-037-mobile-makeup-artist,✅,—,unclassified,,UNASSESSED,matched,beauty-wellness,t7_registry
venture,BW-038-Photoshoot-Makeup-Team,bw-038-photoshoot-makeup-team,https://github.com/Worldwidebro/bw-038-photoshoot-makeup-team,✅,—,unclassified,,UNASSESSED,matched,beauty-wellness,t7_registry
venture,BW-039-Cosmetics-Brand,bw-039-cosmetics-brand,https://github.com/Worldwidebro/bw-039-cosmetics-brand,✅,—,unclassified,,UNASSESSED,matched,beauty-wellness,t7_registry
venture,BW-040-Beauty-Tools-Brand,bw-040-beauty-tools-brand,https://github.com/Worldwidebro/bw-040-beauty-tools-brand,✅,—,unclassified,,UNASSESSED,matched,beauty-wellness,t7_registry
venture,COMM-001,,worldwidebro/local-community-hub,—,—,,,UNASSESSED,no_repo_t7,community,t7_registry
venture,COMM-001-Luminary-Worldwide-Events,comm-001-luminary-worldwide-events,https://github.com/Worldwidebro/comm-001-luminary-worldwide-events,✅,—,software-development,,UNASSESSED,matched,community,t7_registry
venture,COMM-002-Brotherhood-Coaching-Network,comm-002-brotherhood-coaching-network,https://github.com/Worldwidebro/comm-002-brotherhood-coaching-network,✅,—,software-development,,UNASSESSED,matched,community,t7_registry
venture,COMM-003-Ace-Senior-Care-Connect,comm-003-ace-senior-care-connect,https://github.com/Worldwidebro/comm-003-ace-senior-care-connect,✅,—,software-development,,UNASSESSED,matched,community,t7_registry
venture,COMM-004-Community-Outreach-Nonprofit,comm-004-community-outreach-nonprofit,https://github.com/Worldwidebro/comm-004-community-outreach-nonprofit,✅,—,software-development,,UNASSESSED,matched,community,t7_registry
venture,COMM-005-Ace-Food-Security-AI,comm-005-ace-food-security-ai,https://github.com/Worldwidebro/comm-005-ace-food-security-ai,✅,—,security,,UNASSESSED,matched,community,t7_registry
venture,COMM-006-Community-Technology-Access-AI,comm-006-community-technology-access-ai,https://github.com/Worldwidebro/comm-006-community-technology-access-ai,✅,—,software-development,,UNASSESSED,matched,community,t7_registry
venture,COMM-007-Youth-Leadership-AI,comm-007-youth-leadership-ai,https://github.com/Worldwidebro/comm-007-youth-leadership-ai,✅,—,software-development,,UNASSESSED,matched,community,t7_registry
venture,COMM-008-Community-Fundraising-AI,comm-008-community-fundraising-ai,https://github.com/Worldwidebro/comm-008-community-fundraising-ai,✅,—,software-development,,UNASSESSED,matched,community,t7_registry
venture,COMM-009-Volunteer-Hub-AI,comm-009-volunteer-hub-ai,https://github.com/Worldwidebro/comm-009-volunteer-hub-ai,✅,—,software-development,,UNASSESSED,matched,community,t7_registry
venture,COMM-010-Disaster-Relief-AI,comm-010-disaster-relief-ai,https://github.com/Worldwidebro/comm-010-disaster-relief-ai,✅,—,software-development,,UNASSESSED,matched,community,t7_registry
venture,COMM-011-Indigenous-Creator-Hub,comm-011-indigenous-creator-hub,https://github.com/Worldwidebro/comm-011-indigenous-creator-hub,✅,—,software-development,,UNASSESSED,matched,community,t7_registry
venture,COMM-012-Black-Art-Museum-AI,comm-012-black-art-museum-ai,https://github.com/Worldwidebro/comm-012-black-art-museum-ai,✅,—,software-development,,UNASSESSED,matched,community,t7_registry
venture,COMM-013-Women-s-Empowerment-Network,comm-013-women-s-empowerment-network,https://github.com/Worldwidebro/comm-013-women-s-empowerment-network,✅,—,software-development,,UNASSESSED,matched,community,t7_registry
venture,COMM-014-Veterans-Support-AI,comm-014-veterans-support-ai,https://github.com/Worldwidebro/comm-014-veterans-support-ai,✅,—,software-development,,UNASSESSED,matched,community,t7_registry
venture,COMM-015-Youth-Mentorship-Program,comm-015-youth-mentorship-program,https://github.com/Worldwidebro/comm-015-youth-mentorship-program,✅,—,software-development,,UNASSESSED,matched,community,t7_registry
venture,COMM-016-Community-Health-AI,comm-016-community-health-ai,https://github.com/Worldwidebro/comm-016-community-health-ai,✅,—,software-development,,UNASSESSED,matched,community,t7_registry
venture,COMM-017-Local-Business-Directory,comm-017-local-business-directory,https://github.com/Worldwidebro/comm-017-local-business-directory,✅,—,software-development,,UNASSESSED,matched,community,t7_registry
venture,COMM-018-Neighborhood-Watch-AI,comm-018-neighborhood-watch-ai,https://github.com/Worldwidebro/comm-018-neighborhood-watch-ai,✅,—,software-development,,UNASSESSED,matched,community,t7_registry
venture,COMM-019-Community-Garden-AI,comm-019-community-garden-ai,https://github.com/Worldwidebro/comm-019-community-garden-ai,✅,—,software-development,,UNASSESSED,matched,community,t7_registry
venture,COMM-020-Public-Transportation-AI,comm-020-public-transportation-ai,https://github.com/Worldwidebro/comm-020-public-transportation-ai,✅,—,software-development,,UNASSESSED,matched,community,t7_registry
venture,COMM-021-Housing-Assistance-AI,comm-021-housing-assistance-ai,https://github.com/Worldwidebro/comm-021-housing-assistance-ai,✅,—,software-development,,UNASSESSED,matched,community,t7_registry
venture,COMM-022-Job-Training-Center,comm-022-job-training-center,https://github.com/Worldwidebro/comm-022-job-training-center,✅,—,software-development,,UNASSESSED,matched,community,t7_registry
venture,COMM-023-Elder-Companion-AI,comm-023-elder-companion-ai,https://github.com/Worldwidebro/comm-023-elder-companion-ai,✅,—,software-development,,UNASSESSED,matched,community,t7_registry
venture,COMM-024-Youth-Sports-AI,comm-024-youth-sports-ai,https://github.com/Worldwidebro/comm-024-youth-sports-ai,✅,—,software-development,,UNASSESSED,matched,community,t7_registry
venture,COMM-025-Community-Legal-Aid,comm-025-community-legal-aid,https://github.com/Worldwidebro/comm-025-community-legal-aid,✅,—,software-development,,UNASSESSED,matched,community,t7_registry
venture,COMM-026-Public-Education-AI,comm-026-public-education-ai,https://github.com/Worldwidebro/comm-026-public-education-ai,✅,—,software-development,,UNASSESSED,matched,community,t7_registry
venture,COMM-027-Local-Government-AI,comm-027-local-government-ai,https://github.com/Worldwidebro/comm-027-local-government-ai,✅,—,software-development,,UNASSESSED,matched,community,t7_registry
venture,COMM-028-Public-Safety-AI,comm-028-public-safety-ai,https://github.com/Worldwidebro/comm-028-public-safety-ai,✅,—,software-development,,UNASSESSED,matched,community,t7_registry
venture,COMM-029-Community-Wellness-AI,comm-029-community-wellness-ai,https://github.com/Worldwidebro/comm-029-community-wellness-ai,✅,—,software-development,,UNASSESSED,matched,community,t7_registry
venture,COMM-030-Cultural-Exchange-AI,comm-030-cultural-exchange-ai,https://github.com/Worldwidebro/comm-030-cultural-exchange-ai,✅,—,software-development,,UNASSESSED,matched,community,t7_registry
venture,COMM-031-Community-Investment-AI,comm-031-community-investment-ai,https://github.com/Worldwidebro/comm-031-community-investment-ai,✅,—,software-development,,UNASSESSED,matched,community,t7_registry
venture,COMM-032-Public-Health-AI,comm-032-public-health-ai,https://github.com/Worldwidebro/comm-032-public-health-ai,✅,—,software-development,,UNASSESSED,matched,community,t7_registry
venture,COMM-033-Youth-Innovation-Hub,comm-033-youth-innovation-hub,https://github.com/Worldwidebro/comm-033-youth-innovation-hub,✅,—,software-development,,UNASSESSED,matched,community,t7_registry
venture,COMM-034-Senior-Tech-Support,comm-034-senior-tech-support,https://github.com/Worldwidebro/comm-034-senior-tech-support,✅,—,software-development,,UNASSESSED,matched,community,t7_registry
venture,COMM-035-Community-Arts-AI,comm-035-community-arts-ai,https://github.com/Worldwidebro/comm-035-community-arts-ai,✅,—,software-development,,UNASSESSED,matched,community,t7_registry
venture,COMM-036-Public-Infrastructure-AI,comm-036-public-infrastructure-ai,https://github.com/Worldwidebro/comm-036-public-infrastructure-ai,✅,—,infrastructure,,UNASSESSED,matched,community,t7_registry
venture,COMM-037-Neighborhood-Development-AI,comm-037-neighborhood-development-ai,https://github.com/Worldwidebro/comm-037-neighborhood-development-ai,✅,—,software-development,,UNASSESSED,matched,community,t7_registry
venture,COMM-038-Community-Policing-AI,comm-038-community-policing-ai,https://github.com/Worldwidebro/comm-038-community-policing-ai,✅,—,software-development,,UNASSESSED,matched,community,t7_registry
venture,COMM-039-Public-Space-AI,comm-039-public-space-ai,https://github.com/Worldwidebro/comm-039-public-space-ai,✅,—,software-development,,UNASSESSED,matched,community,t7_registry
venture,COMM-040-Community-Recycling-AI,comm-040-community-recycling-ai,https://github.com/Worldwidebro/comm-040-community-recycling-ai,✅,—,developer-tools,,UNASSESSED,matched,community,t7_registry
venture,COMM-041-Public-Wi-Fi-AI,comm-041-public-wi-fi-ai,https://github.com/Worldwidebro/comm-041-public-wi-fi-ai,✅,—,software-development,,UNASSESSED,matched,community,t7_registry
venture,COMM-042-Community-Energy-AI,comm-042-community-energy-ai,https://github.com/Worldwidebro/comm-042-community-energy-ai,✅,—,software-development,,UNASSESSED,matched,community,t7_registry
venture,COMM-043-Local-Food-Network-AI,comm-043-local-food-network-ai,https://github.com/Worldwidebro/comm-043-local-food-network-ai,✅,—,software-development,,UNASSESSED,matched,community,t7_registry
venture,COMM-044-Community-Volunteering-AI,comm-044-community-volunteering-ai,https://github.com/Worldwidebro/comm-044-community-volunteering-ai,✅,—,software-development,,UNASSESSED,matched,community,t7_registry
venture,COMM-045-Public-Childcare-AI,comm-045-public-childcare-ai,https://github.com/Worldwidebro/comm-045-public-childcare-ai,✅,—,software-development,,UNASSESSED,matched,community,t7_registry
venture,COMM-046-Community-Pet-Care-AI,comm-046-community-pet-care-ai,https://github.com/Worldwidebro/comm-046-community-pet-care-ai,✅,—,software-development,,UNASSESSED,matched,community,t7_registry
venture,COMM-047-Public-Fitness-AI,comm-047-public-fitness-ai,https://github.com/Worldwidebro/comm-047-public-fitness-ai,✅,—,software-development,,UNASSESSED,matched,community,t7_registry
venture,COMM-048-Community-Transportation-AI,comm-048-community-transportation-ai,https://github.com/Worldwidebro/comm-048-community-transportation-ai,✅,—,software-development,,UNASSESSED,matched,community,t7_registry
venture,COMM-049-Public-Event-AI,comm-049-public-event-ai,https://github.com/Worldwidebro/comm-049-public-event-ai,✅,—,software-development,,UNASSESSED,matched,community,t7_registry
venture,COMM-050-Community-Cultural-AI,comm-050-community-cultural-ai,https://github.com/Worldwidebro/comm-050-community-cultural-ai,✅,—,software-development,,UNASSESSED,matched,community,t7_registry
venture,EC-001,,worldwidebro/angels-in-daylight,—,—,,,UNASSESSED,no_repo_t7,e-commerce,t7_registry
venture,EC-001-Angels-in-Daylight,ec-001-angels-in-daylight,https://github.com/Worldwidebro/ec-001-angels-in-daylight,✅,—,software-development,,UNASSESSED,matched,e-commerce,t7_registry
venture,EC-002,,worldwidebro/new-world-apparel,—,—,,,UNASSESSED,no_repo_t7,e-commerce,t7_registry
venture,EC-002-New-World-Apparel,ec-002-new-world-apparel,https://github.com/Worldwidebro/ec-002-new-world-apparel,✅,—,software-development,,UNASSESSED,matched,e-commerce,t7_registry
venture,EC-003,,worldwidebro/shopify-autopilot,—,—,,,UNASSESSED,no_repo_t7,e-commerce,t7_registry
venture,EC-003-Shopify-Autopilot,ec-003-shopify-autopilot,https://github.com/Worldwidebro/ec-003-shopify-autopilot,✅,—,ecommerce,,UNASSESSED,matched,e-commerce,t7_registry
venture,EC-004,,worldwidebro/shoe-customizer,—,—,,,UNASSESSED,no_repo_t7,e-commerce,t7_registry
venture,EC-004-Shoe-Customizer,ec-004-shoe-customizer,https://github.com/Worldwidebro/ec-004-shoe-customizer,✅,—,unclassified,,UNASSESSED,matched,e-commerce,t7_registry
venture,EC-005,,worldwidebro/sunglasses-ai,—,—,,,UNASSESSED,no_repo_t7,e-commerce,t7_registry
venture,EC-005-Sunglasses-AI,ec-005-sunglasses-ai,https://github.com/Worldwidebro/ec-005-sunglasses-ai,✅,—,unclassified,,UNASSESSED,matched,e-commerce,t7_registry
venture,EC-006,,worldwidebro/dropship-hub,—,—,,,UNASSESSED,no_repo_t7,e-commerce,t7_registry
venture,EC-006-Dropship-Hub,ec-006-dropship-hub,https://github.com/Worldwidebro/ec-006-dropship-hub,✅,—,unclassified,,UNASSESSED,matched,e-commerce,t7_registry
venture,EC-007,,worldwidebro/personal-shopper-ai,—,—,,,UNASSESSED,no_repo_t7,e-commerce,t7_registry
venture,EC-007-Personal-Shopper-AI,ec-007-personal-shopper-ai,https://github.com/Worldwidebro/ec-007-personal-shopper-ai,✅,—,unclassified,,UNASSESSED,matched,e-commerce,t7_registry
venture,EC-008,,worldwidebro/custom-sneaker-ai,—,—,,,UNASSESSED,no_repo_t7,e-commerce,t7_registry
venture,EC-008-Custom-Sneaker-AI,ec-008-custom-sneaker-ai,https://github.com/Worldwidebro/ec-008-custom-sneaker-ai,✅,—,unclassified,,UNASSESSED,matched,e-commerce,t7_registry
venture,EC-009,,worldwidebro/sustainable-fashion-ai,—,—,,,UNASSESSED,no_repo_t7,e-commerce,t7_registry
venture,EC-009-Sustainable-Fashion-AI,ec-009-sustainable-fashion-ai,https://github.com/Worldwidebro/ec-009-sustainable-fashion-ai,✅,—,unclassified,,UNASSESSED,matched,e-commerce,t7_registry
venture,EC-010,,worldwidebro/jewelry-designer-ai,—,—,,,UNASSESSED,no_repo_t7,e-commerce,t7_registry
venture,EC-010-Jewelry-Designer-AI,ec-010-jewelry-designer-ai,https://github.com/Worldwidebro/ec-010-jewelry-designer-ai,✅,—,unclassified,,UNASSESSED,matched,e-commerce,t7_registry
venture,EC-011-Virtual-Try-On-AI,ec-011-virtual-try-on-ai,https://github.com/Worldwidebro/ec-011-virtual-try-on-ai,✅,—,unclassified,,UNASSESSED,matched,e-commerce,t7_registry
venture,EC-012-Fashion-Designer-AI,ec-012-fashion-designer-ai,https://github.com/Worldwidebro/ec-012-fashion-designer-ai,✅,—,unclassified,,UNASSESSED,matched,e-commerce,t7_registry
venture,EC-013-Merch-Licensing,ec-013-merch-licensing,https://github.com/Worldwidebro/ec-013-merch-licensing,✅,—,unclassified,,UNASSESSED,matched,e-commerce,t7_registry
venture,EC-014-Subscription-Box-AI,ec-014-subscription-box-ai,https://github.com/Worldwidebro/ec-014-subscription-box-ai,✅,—,unclassified,,UNASSESSED,matched,e-commerce,t7_registry
venture,EC-015-Surf-Gear-AI,ec-015-surf-gear-ai,https://github.com/Worldwidebro/ec-015-surf-gear-ai,✅,—,unclassified,,UNASSESSED,matched,e-commerce,t7_registry
venture,EC-016-Ski-Gear-AI,ec-016-ski-gear-ai,https://github.com/Worldwidebro/ec-016-ski-gear-ai,✅,—,unclassified,,UNASSESSED,matched,e-commerce,t7_registry
venture,EC-017-Golf-Gear-AI,ec-017-golf-gear-ai,https://github.com/Worldwidebro/ec-017-golf-gear-ai,✅,—,unclassified,,UNASSESSED,matched,e-commerce,t7_registry
venture,EC-018-Fishing-Gear-AI,ec-018-fishing-gear-ai,https://github.com/Worldwidebro/ec-018-fishing-gear-ai,✅,—,unclassified,,UNASSESSED,matched,e-commerce,t7_registry
venture,EC-019-Yoga-Gear-AI,ec-019-yoga-gear-ai,https://github.com/Worldwidebro/ec-019-yoga-gear-ai,✅,—,unclassified,,UNASSESSED,matched,e-commerce,t7_registry
venture,EC-020-Costume-Shop-AI,ec-020-costume-shop-ai,https://github.com/Worldwidebro/ec-020-costume-shop-ai,✅,—,unclassified,,UNASSESSED,matched,e-commerce,t7_registry
venture,EC-021-Luggage-AI,ec-021-luggage-ai,https://github.com/Worldwidebro/ec-021-luggage-ai,✅,—,unclassified,,UNASSESSED,matched,e-commerce,t7_registry
venture,EC-022-Home-Appliance-AI,ec-022-home-appliance-ai,https://github.com/Worldwidebro/ec-022-home-appliance-ai,✅,—,unclassified,,UNASSESSED,matched,e-commerce,t7_registry
venture,EC-023-Tool-Shop-AI,ec-023-tool-shop-ai,https://github.com/Worldwidebro/ec-023-tool-shop-ai,✅,—,unclassified,,UNASSESSED,matched,e-commerce,t7_registry
venture,EC-024-Garden-Supply-AI,ec-024-garden-supply-ai,https://github.com/Worldwidebro/ec-024-garden-supply-ai,✅,—,unclassified,,UNASSESSED,matched,e-commerce,t7_registry
venture,EC-025-Collectible-AI,ec-025-collectible-ai,https://github.com/Worldwidebro/ec-025-collectible-ai,✅,—,unclassified,,UNASSESSED,matched,e-commerce,t7_registry
venture,EC-026-Hobby-Shop-AI,ec-026-hobby-shop-ai,https://github.com/Worldwidebro/ec-026-hobby-shop-ai,✅,—,unclassified,,UNASSESSED,matched,e-commerce,t7_registry
venture,EC-027-Kids-Toy-Line,ec-027-kids-toy-line,https://github.com/Worldwidebro/ec-027-kids-toy-line,✅,—,unclassified,,UNASSESSED,matched,e-commerce,t7_registry
venture,EC-028-NFT-Fashion-Licensing,ec-028-nft-fashion-licensing,https://github.com/Worldwidebro/ec-028-nft-fashion-licensing,✅,—,unclassified,,UNASSESSED,matched,e-commerce,t7_registry
venture,EC-029-Instant-Brand-Generator,ec-029-instant-brand-generator,https://github.com/Worldwidebro/ec-029-instant-brand-generator,✅,—,unclassified,,UNASSESSED,matched,e-commerce,t7_registry
venture,EC-030-AI-Product-Photographer,ec-030-ai-product-photographer,https://github.com/Worldwidebro/ec-030-ai-product-photographer,✅,—,unclassified,,UNASSESSED,matched,e-commerce,t7_registry
venture,EC-031-Automated-Inventory-Forecaster,ec-031-automated-inventory-forecaster,https://github.com/Worldwidebro/ec-031-automated-inventory-forecaster,✅,—,unclassified,,UNASSESSED,matched,e-commerce,t7_registry
venture,EC-032-Dynamic-Pricing-Engine,ec-032-dynamic-pricing-engine,https://github.com/Worldwidebro/ec-032-dynamic-pricing-engine,✅,—,unclassified,,UNASSESSED,matched,e-commerce,t7_registry
venture,EC-033-Ad-Optimizer-AI,ec-033-ad-optimizer-ai,https://github.com/Worldwidebro/ec-033-ad-optimizer-ai,✅,—,unclassified,,UNASSESSED,matched,e-commerce,t7_registry
venture,EC-034-Recommendation-Engine,ec-034-recommendation-engine,https://github.com/Worldwidebro/ec-034-recommendation-engine,✅,—,unclassified,,UNASSESSED,matched,e-commerce,t7_registry
venture,EC-035-Review-Aggregator-AI,ec-035-review-aggregator-ai,https://github.com/Worldwidebro/ec-035-review-aggregator-ai,✅,—,unclassified,,UNASSESSED,matched,e-commerce,t7_registry
venture,EC-036-Fulfillment-Network-AI,ec-036-fulfillment-network-ai,https://github.com/Worldwidebro/ec-036-fulfillment-network-ai,✅,—,llm-ai,,UNASSESSED,matched,e-commerce,t7_registry
venture,EC-037-Return-Optimization-AI,ec-037-return-optimization-ai,https://github.com/Worldwidebro/ec-037-return-optimization-ai,✅,—,unclassified,,UNASSESSED,matched,e-commerce,t7_registry
venture,EC-038-Chatbot-Customer-Service,ec-038-chatbot-customer-service,https://github.com/Worldwidebro/ec-038-chatbot-customer-service,✅,—,unclassified,,UNASSESSED,matched,e-commerce,t7_registry
venture,EC-039-Visual-Search-AI,ec-039-visual-search-ai,https://github.com/Worldwidebro/ec-039-visual-search-ai,✅,—,unclassified,,UNASSESSED,matched,e-commerce,t7_registry
venture,EC-040-Abandoned-Cart-Recovery,ec-040-abandoned-cart-recovery,https://github.com/Worldwidebro/ec-040-abandoned-cart-recovery,✅,—,unclassified,,UNASSESSED,matched,e-commerce,t7_registry
venture,EC-041-Seasonal-Trend-Predictor,ec-041-seasonal-trend-predictor,https://github.com/Worldwidebro/ec-041-seasonal-trend-predictor,✅,—,unclassified,,UNASSESSED,matched,e-commerce,t7_registry
venture,EC-042-Influencer-Matchmaker,ec-042-influencer-matchmaker,https://github.com/Worldwidebro/ec-042-influencer-matchmaker,✅,—,unclassified,,UNASSESSED,matched,e-commerce,t7_registry
venture,EC-043-UGC-Content-Aggregator,ec-043-ugc-content-aggregator,https://github.com/Worldwidebro/ec-043-ugc-content-aggregator,✅,—,unclassified,,UNASSESSED,matched,e-commerce,t7_registry
venture,EC-044-Live-Commerce-Platform,ec-044-live-commerce-platform,https://github.com/Worldwidebro/ec-044-live-commerce-platform,✅,—,ecommerce,,UNASSESSED,matched,e-commerce,t7_registry
venture,EC-045-AR-Virtual-Fitting-Room,ec-045-ar-virtual-fitting-room,https://github.com/Worldwidebro/ec-045-ar-virtual-fitting-room,✅,—,unclassified,,UNASSESSED,matched,e-commerce,t7_registry
venture,EC-046-3D-Product-Viewer,ec-046-3d-product-viewer,https://github.com/Worldwidebro/ec-046-3d-product-viewer,✅,—,unclassified,,UNASSESSED,matched,e-commerce,t7_registry
venture,EC-047-Carbon-Footprint-Tracker,ec-047-carbon-footprint-tracker,https://github.com/Worldwidebro/ec-047-carbon-footprint-tracker,✅,—,unclassified,,UNASSESSED,matched,e-commerce,t7_registry
venture,EC-048-Wholesale-Marketplace-AI,ec-048-wholesale-marketplace-ai,https://github.com/Worldwidebro/ec-048-wholesale-marketplace-ai,✅,—,ecommerce,,UNASSESSED,matched,e-commerce,t7_registry
